File Version	v3.03.00
Modified Date	04/12/2018
Modified Time	08:19:07

SceneID	RoomID	SceneName
1	256	ALL OFF
2	256	WELCOME
3	256	BATHROOM
4	256	GOOD MORNING
5	256	HALL LIGHTING
6	256	GREAT ROOM LIGHTING
8	256	DINING LIGHTING
7	256	GUEST HALL LIGHTING
9	256	GUEST 1 LIGHTING
10	256	GUEST 02 LIGHTING
11	256	OFFICE LIGHTING

